Book;Chapter;Character A;Character B;Relationship
Adam Silvera: They Both Die at the End;1;Aimee Dubois;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;1;Andrea Donahue;Mateo Torrez;neutral
Adam Silvera: They Both Die at the End;1;Lidia Vargas;Mateo Torrez;positive
Adam Silvera: They Both Die at the End;1;Malcolm Anthony;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;1;Mateo Torrez;Mateo Torrez, Senior;positive
Adam Silvera: They Both Die at the End;1;Mateo Torrez;Rufus Emeterio;neutral
Adam Silvera: They Both Die at the End;1;Patrick “Peck” Gavin;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;1;Rufus Emeterio;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;1;Rufus Emeterio;Victor Gallaher;negative
Adam Silvera: They Both Die at the End;2;Aimee Dubois;Patrick “Peck” Gavin;negative
Adam Silvera: They Both Die at the End;2;Aimee Dubois;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;2;Andrea Donahue;Mateo Torrez;neutral
Adam Silvera: They Both Die at the End;2;Malcolm Anthony;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;2;Malcolm Anthony;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;2;Mateo Torrez;Mateo Torrez, Senior;positive
Adam Silvera: They Both Die at the End;2;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;2;Patrick “Peck” Gavin;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;2;Rufus Emeterio;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;3;Delilah Grey;Howie Maldonado;neutral
Adam Silvera: They Both Die at the End;3;Delilah Grey;Victor Gallaher;negative
Adam Silvera: They Both Die at the End;3;Lidia Vargas;Mateo Torrez;positive
Adam Silvera: They Both Die at the End;3;Mateo Torrez;Mateo Torrez, Senior;positive
Adam Silvera: They Both Die at the End;3;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;3;Mateo Torrez, Senior;Rufus Emeterio;neutral
Adam Silvera: They Both Die at the End;4;Aimee Dubois;Patrick “Peck” Gavin;negative
Adam Silvera: They Both Die at the End;4;Aimee Dubois;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;4;Dierdre Clayton;Mateo Torrez;neutral
Adam Silvera: They Both Die at the End;4;Dierdre Clayton;Rufus Emeterio;neutral
Adam Silvera: They Both Die at the End;4;Lidia Vargas;Mateo Torrez;positive
Adam Silvera: They Both Die at the End;4;Malcolm Anthony;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;4;Mateo Torrez;Mateo Torrez, Senior;positive
Adam Silvera: They Both Die at the End;4;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;4;Patrick “Peck” Gavin;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;4;Rufus Emeterio;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;5;Delilah Grey;Howie Maldonado;neutral
Adam Silvera: They Both Die at the End;5;Kendrick O’Connell;Mateo Torrez;negative
Adam Silvera: They Both Die at the End;5;Kendrick O’Connell;Patrick “Peck” Gavin;positive
Adam Silvera: They Both Die at the End;5;Malcolm Anthony;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;5;Mateo Torrez;Mateo Torrez, Senior;positive
Adam Silvera: They Both Die at the End;5;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;5;Mateo Torrez, Senior;Rufus Emeterio;neutral
Adam Silvera: They Both Die at the End;5;Patrick “Peck” Gavin;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;6;Delilah Grey;Howie Maldonado;neutral
Adam Silvera: They Both Die at the End;6;Dierdre Clayton;Mateo Torrez;neutral
Adam Silvera: They Both Die at the End;6;Dierdre Clayton;Rufus Emeterio;neutral
Adam Silvera: They Both Die at the End;6;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;6;Mateo Torrez;Vin Pearce;negative
Adam Silvera: They Both Die at the End;6;Rufus Emeterio;Vin Pearce;negative
Adam Silvera: They Both Die at the End;7;Kendrick O’Connell;Patrick “Peck” Gavin;positive
Adam Silvera: They Both Die at the End;7;Lidia Vargas;Mateo Torrez;positive
Adam Silvera: They Both Die at the End;7;Lidia Vargas;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;7;Malcolm Anthony;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;7;Malcolm Anthony;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;7;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;7;Patrick “Peck” Gavin;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;7;Rufus Emeterio;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;8;Aimee Dubois;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;8;Delilah Grey;Howie Maldonado;neutral
Adam Silvera: They Both Die at the End;8;Kendrick O’Connell;Mateo Torrez;negative
Adam Silvera: They Both Die at the End;8;Kendrick O’Connell;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;8;Lidia Vargas;Mateo Torrez;positive
Adam Silvera: They Both Die at the End;8;Lidia Vargas;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;8;Malcolm Anthony;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;8;Mateo Torrez;Patrick “Peck” Gavin;negative
Adam Silvera: They Both Die at the End;8;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;8;Patrick “Peck” Gavin;Rufus Emeterio;negative
Adam Silvera: They Both Die at the End;8;Rufus Emeterio;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;9;Aimee Dubois;Malcolm Anthony;positive
Adam Silvera: They Both Die at the End;9;Aimee Dubois;Patrick “Peck” Gavin;negative
Adam Silvera: They Both Die at the End;9;Aimee Dubois;Rufus Emeterio;neutral
Adam Silvera: They Both Die at the End;9;Aimee Dubois;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;9;Lidia Vargas;Mateo Torrez;positive
Adam Silvera: They Both Die at the End;9;Malcolm Anthony;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;9;Malcolm Anthony;Tagoe Hayes;positive
Adam Silvera: They Both Die at the End;9;Mateo Torrez;Rufus Emeterio;positive
Adam Silvera: They Both Die at the End;9;Rufus Emeterio;Tagoe Hayes;positive
Adib Khorram: Darius the Great Is Not Okay;1;Cyprian “Chip” Cusumano;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;1;Darius Grover Kellner;Mr. Charles Apatan;neutral
Adib Khorram: Darius the Great Is Not Okay;1;Darius Grover Kellner;Trent “Fatty” Bolger;negative
Adib Khorram: Darius the Great Is Not Okay;2;Cyprian “Chip” Cusumano;Darius Grover Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;2;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;2;Darius Grover Kellner;Trent “Fatty” Bolger;negative
Adib Khorram: Darius the Great Is Not Okay;3;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;3;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;3;Darius Grover Kellner;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;4;Darius Grover Kellner;Laleh Kellner;positive
Adib Khorram: Darius the Great Is Not Okay;4;Darius Grover Kellner;Shirin Kellner, née Bahrami;neutral
Adib Khorram: Darius the Great Is Not Okay;4;Darius Grover Kellner;Stephen Kellner;negative
Adib Khorram: Darius the Great Is Not Okay;4;Laleh Kellner;Shirin Kellner, née Bahrami;positive
Adib Khorram: Darius the Great Is Not Okay;4;Shirin Kellner, née Bahrami;Stephen Kellner;neutral
Adib Khorram: Darius the Great Is Not Okay;5;Darius Grover Kellner;Javaneh Esfahani;positive
Adib Khorram: Darius the Great Is Not Okay;5;Darius Grover Kellner;Laleh Kellner;positive
